iter	Passed	Remaining
0	2	114
1	4	98
2	20	314
3	32	377
4	47	423
5	49	363
6	63	387
7	67	351
8	81	370
9	95	382
10	108	385
11	122	388
12	134	382
13	147	379
14	158	369
15	168	357
16	170	331
17	180	321
18	190	311
19	200	300
20	202	280
21	210	268
22	218	255
23	225	244
24	236	236
25	246	227
26	256	218
27	261	205
28	263	190
29	267	178
30	280	171
31	283	159
32	286	147
33	297	139
34	306	131
35	317	123
36	322	113
37	332	104
38	334	94
39	345	86
40	356	78
41	368	70
42	383	62
43	396	54
44	401	44
45	414	36
46	427	27
47	442	18
48	444	9
49	457	0
